ORF	Gene
YDR355C	YDR355C
YDR095C	YDR095C
YER010C	YER010C
YLR462W	YLR462W
YFL065C	YFL065C
YDR187C	YDR187C
YDR535C	YDR535C
YFR045W	YFR045W
YDR029W	YDR029W
YGL024W	YGL024W
YEL073C	YEL073C
YER158C	YER158C
YDR090C	YDR090C
YDR053W	YDR053W
YDR154C	YDR154C
YDR509W	YDR509W
YGR039W	YGR039W
YBL109W	YBL109W
YGL085W	LCL3
YDR506C	GMC1
YDR102C	YDR102C
YFR018C	YFR018C
YDR115W	YDR115W
YGR161W-A	YGR161W-A
YER034W	YER034W
YDR541C	YDR541C
YDR210W	YDR210W
YIL108W	YIL108W
YER137C-A	YER137C-A
YGL010W	YGL010W
YFR012W	DCV1
YDR034C-C	YDR034C-C
YDR357C	CNL1
YER079W	YER079W
YGL015C	YGL015C
YFL064C	YFL064C
YFL066C	YFL066C
YFR020W	YFR020W
YPR137C-B	YPR137C-B
YEL076C	YEL076C
YEL067C	YEL067C
YER128W	VFA1
YFL068W	YFL068W
YFR056C	YFR056C
YFR054C	YFR054C
YFR057W	YFR057W
YER091C-A	YER091C-A
YEL076C-A	YEL076C-A
YJL147C	YJL147C
YEL057C	YEL057C
YER084W	YER084W
YFL034W	YFL034W
YER130C	COM2
YER152C	YER152C
YHL042W	YHL042W
YGL039W	YGL039W
YER085C	YER085C
YFL040W	YFL040W
YER119C-A	YER119C-A
YIR016W	YIR016W
YER066C-A	YER066C-A
YER184C	YER184C
YHR162W	MPC2
YGL079W	KXD1
YGL108C	YGL108C
YFR035C	YFR035C
YEL047C	FRD1
YER097W	YER097W
YER134C	YER134C
YGL041C	YGL041C
YGL052W	YGL052W
YGL101W	YGL101W
YER076C	YER076C
YER087C-A	YER087C-A
YFL042C	YFL042C
YFL051C	YFL051C
YER121W	YER121W
YER135C	YER135C
YFR017C	IGD1
YER186C	YER186C
YFL015C	YFL015C
YEL074W	YEL074W
YGL042C	YGL042C
YGL082W	YGL082W
YFR039C	OSW7
YGL132W	YGL132W
YER077C	YER077C
YFL032W	YFL032W
YFL052W	YFL052W
YFL063W	YFL063W
YFR006W	YFR006W
YER159C-A	YER159C-A
YGL117W	YGL117W
YER187W	YER187W
YFL002W-B	YFL002W-B
YEL075C	YEL075C
YGL069C	YGL069C
YGL072C	YGL072C
YIL096C	BMT5
YER067W	RGI1
YGL149W	YGL149W
YGR053C	YGR053C
YGR069W	YGR069W
YGR073C	YGR073C
YGR022C	YGR022C
YGL262W	YGL262W
YGR026W	YGR026W
YGR190C	YGR190C
YGL176C	YGL176C
YHL045W	YHL045W
YGR122W	YGR122W
YGR290W	YGR290W
YGR149W	YGR149W
YGL152C	YGL152C
YHR049C-A	YHR049C-A
YER188W	YER188W
YJL216C	IMA5
YGR114C	YGR114C
YGR291C	YGR291C
YHL008C	YHL008C
YGR153W	YGR153W
YGL138C	YGL138C
YGL193C	YGL193C
YGL235W	YGL235W
YGR027W-A	YGR027W-A
YGR201C	YGR201C
YHR003C	TCD1
YGL182C	YGL182C
YGR107W	YGR107W
YGR115C	YGR115C
YGR269W	YGR269W
YGR127W	YGR127W
YHL009W-A	YHL009W-A
YGR050C	YGR050C
YGL159W	YGL159W
YGL217C	YGL217C
YHR022C	YHR022C
YGR015C	YGR015C
YGR018C	YGR018C
YGR021W	YGR021W
YHL026C	YHL026C
YGR210C	YGR210C
YHL049C	YHL049C
YGR235C	MIC26
YGR259C	YGR259C
YGR117C	YGR117C
YGR293C	YGR293C
YHL037C	YHL037C
YGR064W	YGR064W
YGL218W	YGL218W
YGL230C	YGL230C
YGR045C	YGR045C
YGR250C	YGR250C
YGR131W	FHN1
YGR051C	YGR051C
YGR066C	YGR066C
YGR226C	YGR226C
YGR079W	YGR079W
YGL199C	YGL199C
YPL257W-B	YPL257W-B
YGL239C	YGL239C
YGR031W	IMO32
YJL185C	ATG36
YGL185C	YGL185C
YGR093W	YGR093W
YGR111W	YGR111W
YGR265W	YGR265W
YGR035C	YGR035C
YGL165C	YGL165C
YGR228W	YGR228W
YGL204C	YGL204C
YHR032W	ERC1
YHR045W	YHR045W
YGL260W	YGL260W
YHR095W	YHR095W
YGR161C-C	YGR161C-C
YHR097C	YHR097C
YGR102C	GTF1
YGR266W	YGR266W
YGR122C-A	YGR122C-A
YGR283C	YGR283C
YGR160W	YGR160W
YIL025C	YIL025C
YJL055W	YJL055W
YLR171W	YLR171W
YJL195C	YJL195C
YJL032W	YJL032W
YJL152W	YJL152W
YGR273C	YGR273C
YJR015W	YJR015W
YKR051W	YKR051W
YGR109W-A	YGR109W-A
YGR182C	YGR182C
YJL067W	YJL067W
YJL028W	YJL028W
YHR219W	YHR219W
YJL045W	YJL045W
YIR035C	YIR035C
YJR115W	YJR115W
YJL220W	YJL220W
YIR014W	YIR014W
YJR096W	YJR096W
YIL059C	YIL059C
YJL086C	YJL086C
YLR235C	YLR235C
YJL043W	YJL043W
YHR145C	YHR145C
YHR113W	APE4
YHR159W	TDA11
YHR122W	CIA2
YGR251W	NOP19
YHL039W	EFM1
YGR016W	YGR016W
YGR219W	YGR219W
YIR044C	YIR044C
YIL057C	RGI2
YJR018W	YJR018W
YJR107W	YJR107W
YGR176W	YGR176W
YGR126W	YGR126W
YHL044W	YHL044W
YHR213W	YHR213W
YHR127W	YHR127W
YHR173C	YHR173C
YHR139C-A	YHR139C-A
YHR214C-C	YHR214C-C
YGR025W	YGR025W
YHL018W	YHL018W
YJL009W	YJL009W
YIL028W	YIL028W
YIR024C	YIR024C
YJR037W	YJR037W
YGR137W	YGR137W
YIL001W	YIL001W
YHR138C	YHR138C
YJL068C	YJL068C
YJL193W	YJL193W
YJL211C	YJL211C
YGR242W	YGR242W
YJR085C	YJR085C
YJR129C	YJR129C
YHR112C	YHR112C
YJL027C	YJL027C
YHR218W	YHR218W
YLR252W	YLR252W
YHR177W	YHR177W
YJL169W	YJL169W
YJR111C	YJR111C
YJR011C	YJR011C
YGR001C	AML1
YHL041W	YHL041W
YJL218W	YJL218W
YIL058W	YIL058W
YHR054C	YHR054C
YJL182C	YJL182C
YHR140W	YHR140W
YHR214W	YHR214W
YJR020W	YJR020W
YHL005C	YHL005C
YJR008W	MHO1
YIL029C	YIL029C
YJL022W	YJL022W
YIR040C	YIR040C
YJL160C	YJL160C
YHR210C	YHR210C
YLR184W	YLR184W
YKL225W	YKL225W
YLR157C-A	YLR157C-A
YLR123C	YLR123C
YJR124C	YJR124C
YJL007C	YJL007C
YJR056C	YJR056C
YJL215C	YJL215C
YKL071W	YKL071W
YKR075C	YKR075C
YKL115C	YKL115C
YJL213W	YJL213W
YHR180W	YHR180W
YLR198C	YLR198C
YKL202W	YKL202W
YJR141W	YJR141W
YJR012C	YJR012C
YJL016W	YJL016W
YKL111C	YKL111C
YLR012C	YLR012C
YLR104W	LCL2
YHR192W	LNP1
YKL162C-A	YKL162C-A
YLR101C	YLR101C
YKL133C	YKL133C
YLR346C	YLR346C
YLL047W	YLL047W
YLR296W	YLR296W
YKL027W	TCD2
YKL047W	ANR2
YKR045C	YKR045C
YLL044W	YLL044W
YKL061W	BLI1
YHR214W-A	YHR214W-A
YJL202C	YJL202C
YIR043C	YIR043C
YLR111W	YLR111W
YIL054W	YIL054W
YJR128W	YJR128W
YHR212C	YHR212C
YKL100C	YKL100C
YJL049W	YJL049W
YJL175W	YJL175W
YLR042C	YLR042C
YLR122C	YLR122C
YJR087W	YJR087W
YIL077C	YIL077C
YLR294C	YLR294C
YJR142W	YJR142W
YIR020C	YIR020C
YJL135W	YJL135W
YJR154W	YJR154W
YKL070W	YKL070W
YLR137W	RKM5
YIL012W	YIL012W
YJR071W	YJR071W
YKL123W	YKL123W
YIL060W	YIL060W
YJL015C	YJL015C
YKR012C	YKR012C
YJR023C	YJR023C
YJR116W	TDA4
YKL083W	YKL083W
YLR065C	ENV10
YKL177W	YKL177W
YLR030W	YLR030W
YLR112W	YLR112W
YIL024C	YIL024C
YIR042C	YIR042C
YKL091C	YKL091C
YLL056C	YLL056C
YKL031W	YKL031W
YLL020C	YLL020C
YLR159W	YLR159W
YLR064W	PER33
YKL075C	YKL075C
YKR070W	YKR070W
YKR073C	YKR073C
YKL161C	KDX1
YKL169C	YKL169C
YKL063C	YKL063C
YLR365W	YLR365W
YLR345W	YLR345W
YLR224W	YLR224W
YLR046C	YLR046C
YKL033W-A	YKL033W-A
YLL037W	YLL037W
YLR164W	SHH4
YKL162C	YKL162C
YKL066W	YKL066W
YLL065W	YLL065W
YLR225C	YLR225C
YKL136W	YKL136W
YLR040C	AFB1
YKL023W	YKL023W
YLR076C	YLR076C
YML040W	YML040W
YLR334C	YLR334C
YKL131W	YKL131W
YLR125W	YLR125W
YLR143W	DPH6
YOL114C	YOL114C
YLR041W	YLR041W
YLR049C	YLR049C
YKL097C	YKL097C
YKL147C	YKL147C
YKL077W	YKL077W
YLR366W	YLR366W
YNL024C	YNL024C
YLR211C	ATG38
YLR379W	YLR379W
YLR050C	YLR050C
YKL036C	YKL036C
YKL222C	YKL222C
YLR463C	YLR463C
YMR051C	YMR051C
YLR256W-A	YLR256W-A
YLL058W	YLL058W
YLR156W	YLR156W
YKR041W	YKR041W
YLR407W	YLR407W
YML079W	YML079W
YJR162C	YJR162C
YKL053W	YKL053W
YKL223W	YKL223W
YKR005C	YKR005C
YKL107W	YKL107W
YLR161W	YLR161W
YLR257W	YLR257W
YLL023C	POM33
YLL059C	YLL059C
YLR374C	YLR374C
YLR036C	YLR036C
YLR311C	YLR311C
YLL053C	YLL053C
YLR162W	YLR162W
YMR084W	YMR084W
YKL151C	YKL151C
YLL017W	YLL017W
YLR108C	YLR108C
YLR132C	USB1
YLR140W	YLR140W
YKR043C	SHB17
YLR179C	YLR179C
YLR446W	YLR446W
YML131W	YML131W
YML018C	YML018C
YLR194C	YLR194C
YLR326W	YLR326W
YMR034C	YMR034C
YLR227W-A	YLR227W-A
YMR082C	YMR082C
YLR282C	YLR282C
YLR455W	YLR455W
YMR018W	YMR018W
YML089C	YML089C
YOR114W	YOR114W
YLR269C	YLR269C
YMR119W-A	YMR119W-A
YLR255C	YLR255C
YMR085W	YMR085W
YMR087W	YMR087W
YLR283W	YLR283W
YOR097C	YOR097C
YLR456W	YLR456W
YML020W	YML020W
YLR349W	YLR349W
YML045W-A	YML045W-A
YLR243W	GPN3
YLR410W-A	YLR410W-A
YMR074C	YMR074C
YML119W	YML119W
YMR007W	YMR007W
YLR415C	YLR415C
YML083C	YML083C
YOR062C	YOR062C
YML108W	YML108W
YLR232W	YLR232W
YMR075C-A	YMR075C-A
YLR339C	YLR339C
YLR218C	COA4
YLR400W	YLR400W
YLR281C	YLR281C
YLR302C	YLR302C
YNL266W	YNL266W
YML053C	YML053C
YMR090W	YMR090W
YLR287C	YLR287C
YLR444C	YLR444C
YLR460C	YLR460C
YMR010W	YMR010W
YLR414C	PUN1
YLR426W	TDA5
YNL017C	YNL017C
YLR358C	YLR358C
YLR434C	YLR434C
YMR086W	SEG1
YMR118C	SHH3
YML122C	YML122C
YLR445W	GMC2
YMR052C-A	YMR052C-A
YLR402W	YLR402W
YML100W-A	YML100W-A
YLR173W	YLR173W
YLR312C	YLR312C
YLR253W	MCP2
YMR111C	YMR111C
YLR290C	YLR290C
YNL276C	YNL276C
YNL134C	YNL134C
YMR245W	YMR245W
YMR279C	YMR279C
YNL234W	YNL234W
YNL193W	YNL193W
YNR068C	YNR068C
YOR186W	YOR186W
YNL108C	YNL108C
YMR181C	YMR181C
YNL018C	YNL018C
YNR042W	YNR042W
YMR291W	TDA1
YNL226W	YNL226W
YMR304C-A	YMR304C-A
YNL120C	YNL120C
YNL194C	YNL194C
YNL109W	YNL109W
YNL296W	YNL296W
YNL019C	YNL019C
YNR025C	YNR025C
YNL179C	YNL179C
YMR144W	YMR144W
YNL122C	YNL122C
YNL140C	YNL140C
YOR192C-A	YOR192C-A
YNL086W	SNN1
YNL165W	YNL165W
YNL181W	YNL181W
YOR379C	YOR379C
YNL228W	YNL228W
YMR155W	YMR155W
YMR295C	YMR295C
YMR315W	YMR315W
YMR209C	YMR209C
YNL033W	YNL033W
YNL050C	YNL050C
YMR253C	YMR253C
YNL089C	YNL089C
YNL284C-A	YNL284C-A
YMR187C	YMR187C
YNL010W	YNL010W
YNL022C	RCM1
YNL034W	YNL034W
YNR061C	YNR061C
YNL198C	YNL198C
YMR134W	ERG29
YMR147W	YMR147W
YMR173W-A	YMR173W-A
YNL115C	YNL115C
YNL324W	YNL324W
YMR210W	YMR210W
YMR226C	YMR226C
YMR254C	YMR254C
YNL011C	YNL011C
YNL155W	CUZ1
YOR262W	GPN2
YNL170W	YNL170W
YNL174W	YNL174W
YNR062C	YNR062C
YNL190W	YNL190W
YMR316C-A	YMR316C-A
YNL092W	YNL092W
YMR178W	YMR178W
YNL305C	BXI1
YNL176C	TDA7
YMR244W	YMR244W
YNR063W	YNR063W
YMR135W-A	YMR135W-A
YMR166C	YMR166C
YNL114C	YNL114C
YMR316C-B	YMR316C-B
YMR326C	YMR326C
YNL146W	YNL146W
YNL054W-A	YNL054W-A
YMR321C	YMR321C
YOR146W	YOR146W
YOR304C-A	BIL1
YAR029W	YAR029W
YBL070C	YBL070C
YCL002C	YCL002C
YOL092W	YPQ1
YNL046W	YNL046W
YOR333C	YOR333C
YOR343C	YOR343C
YOL107W	YOL107W
YPR059C	YPR059C
YOR314W	YOR314W
YOL085C	YOL085C
YNL205C	YNL205C
YNL195C	YNL195C
YER156C	YER156C
YOR385W	YOR385W
YMR141C	YMR141C
YOL046C	YOL046C
YOL134C	YOL134C
YER163C	GCG1
YOR387C	YOR387C
YJL064W	YJL064W
YOL047C	LDS2
YOR111W	YOR111W
YOR052C	TMC1
YPR011C	YPR011C
YOL029C	YOL029C
YOL035C	YOL035C
YOL157C	IMA2
YGL102C	YGL102C
YIL102C	YIL102C
YAL045C	YAL045C
YPR050C	YPR050C
YOR318C	YOR318C
YOL162W	YOL162W
YOL103W-A	YOL103W-A
YPL035C	YPL035C
YNL095C	YNL095C
YNL035C	YNL035C
YNL208W	YNL208W
YOL036W	YOL036W
YGL114W	YGL114W
YNR077C	YNR077C
YMR290W-A	YMR290W-A
YNL150W	YNL150W
YNR029C	YNR029C
YOR302W	YOR302W
YOL163W	YOL163W
YOL073C	YOL073C
YOR389W	YOR389W
YOL037C	YOL037C
YOR331C	YOR331C
YOR364W	YOR364W
YGL118C	YGL118C
YBR134W	YBR134W
YBR209W	YBR209W
YOL083W	ATG34
YOR170W	YOR170W
YOR228C	MCP1
YNL184C	YNL184C
YOL019W	YOL019W
YPL067C	YPL067C
YPR127W	YPR127W
YPR174C	YPR174C
YPR196W	YPR196W
YPR204W	YPR204W
YOL131W	YOL131W
YPL251W	YPL251W
YPL142C	YPL142C
YBR178W	YBR178W
YPL264C	YPL264C
YPL279C	FEX2
YOR072W	YOR072W
YOR352W	TFB6
YHR125W	YHR125W
YLR317W	YLR317W
YOL159C	YOL159C
YOR015W	YOR015W
YOR055W	YOR055W
YOR082C	YOR082C
YIL175W	YIL175W
YGL188C	YGL188C
YPL044C	YPL044C
YPL056C	LCL1
YDL211C	YDL211C
YBL108W	YBL108W
YOL160W	YOL160W
YOR105W	YOR105W
YBL112C	YBL112C
YKL153W	YKL153W
YOL024W	YOL024W
YOR342C	YOR342C
YHR217C	YHR217C
YPL025C	YPL025C
YPR077C	YPR077C
YOL013W-A	YOL013W-A
YEL068C	YEL068C
YOL057W	YOL057W
YOL079W	YOL079W
YKR033C	YKR033C
YPR015C	YPR015C
YFL012W	YFL012W
YPL107W	YPL107W
YPL136W	YPL136W
YPL199C	YPL199C
YPR078C	YPR078C
YOR309C	YOR309C
YOL118C	YOL118C
YJR120W	YJR120W
YPR158W-A	YPR158W-A
YPR202W	YPR202W
YPR114W	YPR114W
YPR126C	YPR126C
YPL108W	YPL108W
YPL185W	YPL185W
YPL225W	YPL225W
YPL276W	YPL276W
YOR300W	YOR300W
YOL050C	YOL050C
YOR139C	YOR139C
YPL080C	YPL080C
YPR150W	YPR150W
YPR203W	YPR203W
YBR032W	YBR032W
YBR051W	YBR051W
YOR390W	FEX1
YPL109C	YPL109C
YJR146W	YJR146W
YPR142C	YPR142C
YPR177C	YPR177C
YPR096C	YPR096C
YJR149W	YJR149W
YDL187C	YDL187C
YDR401W	YDR401W
YDR387C	YDR387C
YDR262W	YDR262W
YLR152C	YLR152C
YPR089W	YPR089W
YOR024W	YOR024W
YPR170C	YPR170C
YPL197C	YPL197C
YPL247C	YPL247C
YDL241W	YDL241W
YLR416C	YLR416C
YLR458W	YLR458W
YPL257W	YPL257W
YPR136C	YPR136C
YPR027C	YPR027C
YPR098C	YPR098C
YLR149C	YLR149C
YBL096C	YBL096C
YPL102C	YPL102C
YPL113C	YPL113C
YDR370C	DXO1
YDL177C	YDL177C
YAR070C	YAR070C
YPL257W-A	YPL257W-A
YPR146C	YPR146C
YPR153W	YPR153W
YPR197C	YPR197C
YKL118W	YKL118W
YPR099C	YPR099C
YPL068C	YPL068C
YPL114W	YPL114W
YPL162C	YPL162C
YDR415C	YDR415C
YBR012W-A	YBR012W-A
YMR262W	YMR262W
YPL260W	YPL260W
YPR147C	YPR147C
YBR139W	YBR139W
YPL238C	YPL238C
YOR012W	YOR012W
YPR157W	TDA6
YOR059C	YOR059C
YHR132W-A	YHR132W-A
YOR289W	YOR289W
YCL022C	YCL022C
YPL191C	YPL191C
YPR123C	YPR123C
YOR021C	SFM1
YPR158C-C	YPR158C-C
YOR060C	SLD7
YGL157W	ARI1
YPL245W	YPL245W
YPL088W	YPL088W
YDL233W	MFG1
YDL162C	YDL162C
YPL182C	YPL182C
YDR396W	YDR396W
YMR258C	ROY1
YJR030C	YJR030C
YPL066W	RGL1
YOR365C	YOR365C
YNR048W	YNR048W
YOR287C	YOR287C
YLR177W	YLR177W
YKR018C	YKR018C
YPL236C	ENV7
YOR338W	YOR338W
YML082W	YML082W
YIL174W	YIL174W
YGR038C-A	YGR038C-A
YIL086C	YIL086C
YLR072W	YLR072W
YMR206W	YMR206W
YNL058C	YNL058C
YIL089W	YIL089W
YKR015C	YKR015C
YGR012W	YGR012W
YJL171C	YJL171C
YIL169C	YIL169C
YOR019W	YOR019W
YIL166C	YIL166C
YPR172W	YPR172W
YOR283W	YOR283W
YNR071C	YNR071C
YMR099C	YMR099C
YJR003C	YJR003C
YJR028W	YJR028W
YMR153C-A	YMR153C-A
YNL338W	YNL338W
YNL260C	LTO1
YHL017W	YHL017W
YOR238W	YOR238W
YMR194C-A	YMR194C-A
YNL235C	YNL235C
YMR086C-A	YMR086C-A
YNR064C	YNR064C
YGR237C	YGR237C
YKR011C	YKR011C
YHR033W	YHR033W
YGR287C	IMA1
YIL165C	YIL165C
YIL171W	YIL171W
YJR054W	KCH1
YMR193C-A	YMR193C-A
YNL285W	YNL285W
YNL303W	YNL303W
YLR301W	HRI1
YMR031W-A	YMR031W-A
YKL171W	NNK1
YKR017C	HEL1
YML045W	YML045W
YNL028W	YNL028W
YDR426C	YDR426C
YFR016C	YFR016C
YGL214W	YGL214W
YDL206W	YDL206W
YGL074C	YGL074C
YAR069C	YAR069C
YCL019W	YCL019W
YDR319C	YFT2
YJL132W	YJL132W
YHL050C	YHL050C
YDR250C	YDR250C
YGL081W	YGL081W
YHR009C	TDA3
YMR244C-A	COA6
YJR061W	YJR061W
YGR054W	YGR054W
YDR365W-A	YDR365W-A
YNL043C	YNL043C
YJL118W	YJL118W
YER137C	YER137C
YMR324C	YMR324C
YIL141W	YIL141W
YBR235W	VHC1
YJL107C	YJL107C
YDR366C	YDR366C
YNL057W	YNL057W
YJL119C	YJL119C
YDL180W	YDL180W
YER138W-A	YER138W-A
YBR242W	YBR242W
YDR526C	YDR526C
YHR078W	YHR078W
YJR079W	YJR079W
YHR131C	YHR131C
YHR202W	YHR202W
YER140W	EMP65
YMR252C	YMR252C
YKL102C	YKL102C
YDR307W	PMT7
YIL152W	YIL152W
YHR035W	YHR035W
YJL114W	YJL114W
YHL012W	YHL012W
YKL050C	YKL050C
YDR220C	YDR220C
YIL067C	YIL067C
YJR039W	YJR039W
YPL041C	YPL041C
YPL168W	YPL168W
YDR282C	YDR282C
YJL120W	YJL120W
YOR376W	YOR376W
YKR096W	ESL2
YOL150C	YOL150C
YMR102C	YMR102C
YDR543C	YDR543C
YKR023W	YKR023W
YNL247W	YNL247W
YML133C	YML133C
YOR277C	YOR277C
YOR282W	YOR282W
YNR065C	YNR065C
YLR035C-A	YLR035C-A
YMR124W	YMR124W
YPR148C	YPR148C
YNL313C	EMW1
YNR066C	YNR066C
YOR152C	YOR152C
YPL229W	YPL229W
YPR014C	YPR014C
YDR290W	YDR290W
YOR378W	AMF1
YLR031W	YLR031W
YPL071C	YPL071C
YLR236C	YLR236C
YNL211C	YNL211C
YNL013C	YNL013C
YIL092W	YIL092W
YMR160W	YMR160W
YJL181W	YJL181W
YKL215C	OXP1
YNL143C	YNL143C
YMR306C-A	YMR306C-A
YML037C	YML037C
YIL091C	UTP25
YML081W	TDA9
YOR292C	YOR292C
YLR230W	YLR230W
YLL032C	YLL032C
YLR001C	YLR001C
YDR306C	YDR306C
YNR014W	YNR014W
YKL030W	YKL030W
YIL100W	YIL100W
YLR118C	YLR118C
YNL144C	YNL144C
YNR040W	YNR040W
YNL054W-B	YNL054W-B
YDR261C-D	YDR261C-D
YLR057W	MNL2
YPR092W	YPR092W
YPL077C	YPL077C
YOR218C	YOR218C
YOR248W	YOR248W
YDR261W-B	YDR261W-B
YGR164W	YGR164W
YPR013C	CMR3
YMR185W	RTP1
YLR413W	INA1
YJL225C	YJL225C
YKR047W	YKR047W
YLR063W	BMT6
YMR130W	YMR130W
YLR352W	YLR352W
YNL295W	YNL295W
YML096W	YML096W
YOL099C	YOL099C
YCL046W	YCL046W
YKR078W	YKR078W
YLL067C	YLL067C
YOR142W-B	YOR142W-B
YOR008C-A	YOR008C-A
YDL172C	YDL172C
YMR057C	YMR057C
YOR199W	YOR199W
YPR158C-D	YPR158C-D
YOR203W	YOR203W
YPR130C	YPR130C
YOL106W	YOL106W
YCL023C	YCL023C
YER181C	YER181C
YMR046W-A	YMR046W-A
YIL151C	ESL1
YOL098C	YOL098C
YPL261C	YPL261C
YPR071W	YPR071W
YOR356W	CIR2
YOR263C	YOR263C
YEL028W	YEL028W
YDL121C	YDL121C
YPL205C	YPL205C
YNL203C	YNL203C
YJR114W	YJR114W
YOR200W	YOR200W
YDR445C	YDR445C
YNL311C	YNL311C
YLR464W	YLR464W
YOR268C	YOR268C
YKR106W	GEX2
YKR104W	YKR104W
YPR109W	YPR109W
YLL054C	YLL054C
YLR053C	YLR053C
YGR139W	YGR139W
YPR137C-A	YPR137C-A
YPL073C	YPL073C
YNL319W	YNL319W
YOR041C	YOR041C
YDR215C	YDR215C
YOR366W	YOR366W
YEL023C	YEL023C
YGL088W	YGL088W
YFL067W	YFL067W
YOL166C	YOL166C
YOR223W	YOR223W
YDR249C	YDR249C
YLR217W	YLR217W
YLR428C	YLR428C
YGR125W	YGR125W
YDR333C	RQC1
