YNL171C	0
YDL070W	BDF2
YAL060W	BDH1
YBR200W	BEM1
YER155C	BEM2
YPL115C	BEM3
YPL161C	BEM4
YJR053W	BFA1
YGR282C	BGL2
YCL029C	BIK1
YER016W	BIM1
YGR286C	BIO2
YNR058W	BIO3
YNR057C	BIO4
YNR056C	BIO5
YBR270C	BIT2
YJL058C	BIT61
YFL007W	BLM10
YER177W	BMH1
YDR099W	BMH2
YJR025C	BNA1
YJR078W	BNA2
YJL060W	BNA3
YBL098W	BNA4
YLR231C	BNA5
YFR047C	BNA6
YNL271C	BNI1
YNL233W	BNI4
YNL166C	BNI5
YIL159W	BNR1
YGR230W	BNS1
YBL085W	BOI1
YER114C	BOI2
YLR267W	BOP2
YNL042W	BOP3
YNL275W	BOR1
YCR032W	BPH1
YLL015W	BPT1
YDL074C	BRE1
YDL074C	BRE1
YLR015W	BRE2
YDL231C	BRE4
YNR051C	BRE5
YPR057W	BRR1
YDL037C	BSC1
YDR275W	BSC2
YNR069C	BSC5
YOL137W	BSC6
YBR290W	BSD2
YPR171W	BSP1
YFL025C	BST1
YGR142W	BTN2
YPL069C	BTS1
YDR252W	BTT1
YGR188C	BUB1
YMR055C	BUB2
YOR026W	BUB3
YGL174W	BUD13
YAR014C	BUD14
YNR027W	BUD17
YJL188C	BUD19
YKL092C	BUD2
YOR078W	BUD21
YDR241W	BUD26
YFL023W	BUD27
YLR062C	BUD28
YCL014W	BUD3
YCR063W	BUD31
YJR092W	BUD4
YLR319C	BUD6
YOR299W	BUD7
YLR353W	BUD8
YGR041W	BUD9
YDL099W	BUG1
YMR275C	BUL1
YML111W	BUL2
YKL005C	BYE1
YHR114W	BZZ1
YML102W	CAC2
YDR423C	CAD1
YNL278W	CAF120
YGR134W	CAF130
YFL028C	CAF16
YOR276W	CAF20
YKR036C	CAF4
YNL288W	CAF40
YER048C	CAJ1
YPL048W	CAM1
YEL063C	CAN1
YKL007W	CAP1
YIL034C	CAP2
YPL111W	CAR1
YLR438W	CAR2
YML042W	CAT2
YOR125C	CAT5
YMR280C	CAT8
YPL178W	CBC2
YJR060W	CBF1
YGR174C	CBP4
YIL043C	CBR1
YKL208W	CBT1
YLR220W	CCC1
YDR270W	CCC2
YGR217W	CCH1
YKR066C	CCP1
YMR038C	CCS1
YLR110C	CCW12
YLR390W-A	CCW14
YBR131W	CCZ1
YLR307W	CDA1
YLR308W	CDA2
YLR418C	CDC73
YER061C	CEM1
YML036W	CGI121
YGL029W	CGR1
YCL064C	CHA1
YLR098C	CHA4
YER164W	CHD1
YBR274W	CHK1
YBR274W	CHK1
YBR274W	CHK1
YBR274W	CHK1
YBR274W	CHK1
YBR274W	CHK1
YBR274W	CHK1
YPL008W	CHL1
YDR254W	CHL4
YGR157W	CHO2
YNL192W	CHS1
YBR023C	CHS3
YLR330W	CHS5
YJL099W	CHS6
YHR142W	CHS7
YER030W	CHZ1
YMR198W	CIK1
YOR349W	CIN1
YPL241C	CIN2
YMR138W	CIN4
YOR028C	CIN5
YEL061C	CIN8
YDR022C	CIS1
YJL158C	CIS3
YNR001C	CIT1
YCR005C	CIT2
YPR001W	CIT3
YIL035C	CKA1
YOR061W	CKA2
YGL019W	CKB1
YOR039W	CKB2
YLR133W	CKI1
YNL298W	CLA4
YGR108W	CLB1
YPR119W	CLB2
YPR119W	CLB2
YPR119W	CLB2
YPR119W	CLB2
YPR119W	CLB2
YPR119W	CLB2
YPR119W	CLB2
YDL155W	CLB3
YLR210W	CLB4
YPR120C	CLB5
YGR109C	CLB6
YGL215W	CLG1
YMR199W	CLN1
YPL256C	CLN2
YAL040C	CLN3
YMR012W	CLU1
YFR014C	CMK1
YOL016C	CMK2
YML057W	CMP2
YLR433C	CNA1
YKL190W	CNB1
YAL058W	CNE1
YFR046C	CNN1
YNL051W	COG5
YNL041C	COG6
YGL005C	COG7
YML071C	COG8
YOL008W	COQ10
YNR041C	COQ2
YGR255C	COQ6
YNL336W	COS1
YNR075W	COS10
YBR203W	COS111
YGL263W	COS12
YGR295C	COS6
YOR316C	COT1
YPL172C	COX10
YLR038C	COX12
YML129C	COX14
YLL009C	COX17
YHR116W	COX23
YNL052W	COX5A
YIL111W	COX5B
YMR256C	COX7
YLR395C	COX8
YKL179C	COY1
YOR303W	CPA1
YJR109C	CPA2
YJR109C	CPA2
YGR247W	CPD1
YDR155C	CPR1
YHR057C	CPR2
YCR069W	CPR4
YDR304C	CPR5
YLR216C	CPR6
YJR032W	CPR7
YNR028W	CPR8
YJL172W	CPS1
YNL130C	CPT1
YOR100C	CRC1
YDL142C	CRD1
YDR223W	CRF1
YHR209W	CRG1
YGR189C	CRH1
YLR429W	CRN1
YHR146W	CRP1
YLR213C	CRR1
YOR031W	CRS5
YOL063C	CRT10
YNL027W	CRZ1
YNR010W	CSE2
YLR087C	CSF1
YBR036C	CSG2
YBR161W	CSH1
YMR025W	CSI1
YOL007C	CSI2
YCR086W	CSM1
YIL132C	CSM2
YMR048W	CSM3
YPL200W	CSM4
YJR084W	CSN12
YDR179C	CSN9
YLR380W	CSR1
YPR030W	CSR2
YIL036W	CST6
YLR394W	CST9
YDR256C	CTA1
YMR078C	CTF18
YPL018W	CTF19
YLR381W	CTF3
YPR135W	CTF4
YHR191C	CTF8
YDR151C	CTH1
YPL181W	CTI6
YKL139W	CTK1
YML112W	CTK3
YMR180C	CTL1
YHR109W	CTM1
YBR291C	CTP1
YLR286C	CTS1
YDR371W	CTS2
YGR088W	CTT1
YMR264W	CUE1
YKL090W	CUE2
YGL110C	CUE3
YML101C	CUE4
YOR042W	CUE5
YGR003W	CUL3
YGL166W	CUP2
YPL177C	CUP9
YNL286W	CUS2
YDR163W	CWC15
YDR482C	CWC21
YPL064C	CWC27
YGL027C	CWH41
YCR017C	CWH43
YKL096W	CWP1
YKL096W-A	CWP2
YML054C	CYB2
YNL111C	CYB5
YJR048W	CYC1
YOR037W	CYC2
YEL039C	CYC7
YDL117W	CYK3
YDR430C	CYM1
YOR065W	CYT1
YKL087C	CYT2
YML070W	DAK1
YFL053W	DAK2
YIR027C	DAL1
YIR029W	DAL2
YIR032C	DAL3
YIR028W	DAL4
YJR152W	DAL5
YIR031C	DAL7
YKR034W	DAL80
YIR023W	DAL81
YNL314W	DAL82
YJR150C	DAN1
YLR037C	DAN2
YBR301W	DAN3
YPL170W	DAP1
YHR028C	DAP2
YML113W	DAT1
YGR092W	DBF2
YPR111W	DBF20
YPL119C	DBP1
YGL078C	DBP3
YKR024C	DBP7
YKL149C	DBR1
YCL016C	DCC1
YIR030C	DCG1
YOR180C	DCI1
YLR128W	DCN1
YLR361C	DCR2
YOR173W	DCS2
YKL046C	DCW1
YPL194W	DDC1
YER143W	DDI1
YNL335W	DDI3
YOR163W	DDP1
YMR173W	DDR48
YFL001W	DEG1
YAL013W	DEP1
YBR201W	DER1
YIL049W	DFG10
YOR030W	DFG16
YMR238W	DFG5
YDR411C	DFM1
YOR245C	DGA1
YDL160C	DHH1
YMR316W	DIA1
YOR080W	DIA2
YDL024C	DIA3
YLR348C	DIC1
YKR035W-A	DID2
YGR227W	DIE2
YDR480W	DIG2
YDR263C	DIN7
YPL265W	DIP5
YDR403W	DIT1
YDR402C	DIT2
YIR004W	DJP1
YDL174C	DLD1
YDL178W	DLD2
YEL071W	DLD3
YJL065C	DLS1
YMR126C	DLT1
YHR115C	DMA1
YNL116W	DMA2
YER179W	DMC1
YER166W	DNF1
YDR093W	DNF2
YMR162C	DNF3
YOR005C	DNL4
YLL001W	DNM1
YKL213C	DOA1
YHR044C	DOG1
YHR043C	DOG2
YNL001W	DOM34
YDR273W	DON1
YDR068W	DOS2
YDR440W	DOT1
YIL010W	DOT5
YER088C	DOT6
YBR278W	DPB3
YDR121W	DPB4
YIL103W	DPH1
YKL191W	DPH2
YLR172C	DPH5
YDR294C	DPL1
YDR284C	DPP1
YAL026C	DRS2
YER124C	DSE1
YHR143W	DSE2
YOR264W	DSE3
YNR067C	DSE4
YBR007C	DSF2
YMR276W	DSK2
YPR017C	DSS4
YGL043W	DST1
YDL219W	DTD1
YBR180W	DTR1
YFR044C	DUG1
YBR281C	DUG2
YNL191W	DUG3
YBR208C	DUR1
YHL016C	DUR3
YLR401C	DUS3
YLR405W	DUS4
YKR054C	DYN1
YDR424C	DYN2
YMR299C	DYN3
YPR023C	EAF3
YJR082C	EAF6
YNL136W	EAF7
YKL204W	EAP1
YDR206W	EBS1
YLR284C	ECI1
YAL059W	ECM1
YEL030W	ECM10
YDR446W	ECM11
YHR021W-A	ECM12
YBL043W	ECM13
YHR132C	ECM14
YBL001C	ECM15
YJR137C	ECM17
YDR125C	ECM18
YLR390W	ECM19
YBR065C	ECM2
YBL101C	ECM21
YLR228C	ECM22
YPL021W	ECM23
YJL201W	ECM25
YJR106W	ECM27
YHL030W	ECM29
YOR092W	ECM3
YLR436C	ECM30
YBR176W	ECM31
YER176W	ECM32
YBR078W	ECM33
YHL043W	ECM34
YIL146C	ECM37
YLR299W	ECM38
YKR076W	ECM4
YMR176W	ECM5
YMR176W	ECM5
YMR176W	ECM5
YMR176W	ECM5
YMR176W	ECM5
YMR176W	ECM5
YMR176W	ECM5
YLR443W	ECM7
YBR076W	ECM8
YGL222C	EDC1
YER035W	EDC2
YEL015W	EDC3
YBL047C	EDE1
YBR033W	EDS1
YPL095C	EEB1
YOR133W	EFT1
YDR385W	EFT2
YPL037C	EGD1
YHR193C	EGD2
YNL327W	EGT2
YDR036C	EHD3
YBR177C	EHT1
YDR147W	EKI1
YNL230C	ELA1
YPL046C	ELC1
YKL160W	ELF1
YOR144C	ELG1
YKL048C	ELM1
YJL196C	ELO1
YGR200C	ELP2
YPL086C	ELP3
YPL101W	ELP4
YMR312W	ELP6
YDR512C	EMI1
YDR516C	EMI2
YOL071W	EMI5
YOL071W	EMI5
YOL071W	EMI5
YOL071W	EMI5
YOL071W	EMI5
YOL071W	EMI5
YOL071W	EMI5
YLR080W	EMP46
YFL048C	EMP47
YLR083C	EMP70
YOL158C	ENB1
YGR254W	ENO1
YDL161W	ENT1
YLR206W	ENT2
YJR125C	ENT3
YLL038C	ENT4
YDR153C	ENT5
YNL080C	EOS1
YIL005W	EPS1
YHR123W	EPT1
YDR414C	ERD1
YLR246W	ERF2
YMR202W	ERG2
YNL280C	ERG24
YLR056W	ERG3
YMR015C	ERG5
YML008C	ERG6
YFR041C	ERJ5
YAR002C-A	ERP1
YAL007C	ERP2
YDL018C	ERP3
YOR016C	ERP4
YHR110W	ERP5
YGL002W	ERP6
YCR075C	ERS1
YGL054C	ERV14
YBR210W	ERV15
YPR037C	ERV2
YML012W	ERV25
YGR284C	ERV29
YML067C	ERV41
YAL042W	ERV46
YNL125C	ESBP6
YNL125C	ESBP6
YNL125C	ESBP6
YNL125C	ESBP6
YNL125C	ESBP6
YNL125C	ESBP6
YNL125C	ESBP6
YMR219W	ESC1
YDR363W	ESC2
YOL017W	ESC8
YLR233C	EST1
YLR233C	EST1
YLR233C	EST1
YLR233C	EST1
YLR233C	EST1
YLR233C	EST1
YLR233C	EST1
YLR318W	EST2
YIL009C-A	EST3
YBR026C	ETR1
YLR300W	EXG1
YDR261C	EXG2
YOR033C	EXO1
YOR033C	EXO1
YOR033C	EXO1
YOR033C	EXO1
YOR033C	EXO1
YOR033C	EXO1
YOR033C	EXO1
YOR317W	FAA1
YMR246W	FAA4
YFR019W	FAB1
YNL023C	FAP1
YJL157C	FAR1
YLR238W	FAR10
YNL127W	FAR11
YMR052W	FAR3
YFR008W	FAR7
YMR029C	FAR8
YBR041W	FAT1
YER183C	FAU1
YLR377C	FBP1
YJL155C	FBP26
YPR062W	FCY1
YER056C	FCY2
YER060W	FCY21
YER060W-A	FCY22
YCR034W	FEN1
YBR101C	FES1
YMR058W	FET3
YMR319C	FET4
YFL041W	FET5
YBR040W	FIG1
YCR089W	FIG2
YNL325C	FIG4
YDR130C	FIN1
YER032W	FIR1
YIL065C	FIS1
YDR534C	FIT1
YOR382W	FIT2
YOR382W	FIT2
YOR382W	FIT2
YOR382W	FIT2
YOR382W	FIT2
YOR382W	FIT2
YOR382W	FIT2
YOR383C	FIT3
YIL131C	FKH1
YNL068C	FKH2
YLR342W	FKS1
YMR306W	FKS3
YPL221W	FLC1
YAL053W	FLC2
YGL139W	FLC3
YAR050W	FLO1
YKR102W	FLO10
YER109C	FLO8
YBR008C	FLR1
YIL134W	FLX1
YIL098C	FMC1
YHR176W	FMO1
YER182W	FMP10
YHL021C	FMP12
YKR016W	FMP13
YPL099C	FMP14
YDR070C	FMP16
YBR269C	FMP21
YHR198C	FMP22
YBR047W	FMP23
YMR115W	FMP24
YLR077W	FMP25
YJR080C	FMP26
YLR454W	FMP27
YER080W	FMP29
YPL103C	FMP30
YOR286W	FMP31
YFL046W	FMP32
YJL161W	FMP33
YHR199C	FMP34
YIL157C	FMP35
YDR493W	FMP36
YGL080W	FMP37
YMR157C	FMP39
YPL222W	FMP40
YNL168C	FMP41
YMR221C	FMP42
YGR243W	FMP43
YDL222C	FMP45
YKR049C	FMP46
YGR052W	FMP48
YER038W-A	FMP49
YBR262C	FMP51
YER004W	FMP52
YMR020W	FMS1
YBL013W	FMT1
YDR110W	FOB1
YKR009C	FOX2
YNL135C	FPR1
YDR519W	FPR2
YML074C	FPR3
YLR449W	FPR4
YLL043W	FPS1
YLR214W	FRE1
YKL220C	FRE2
YOR381W	FRE3
YNR060W	FRE4
YOR384W	FRE5
YLL051C	FRE6
YOL152W	FRE7
YLR047C	FRE8
YCL026C-A	FRM2
YOR324C	FRT1
YAL028W	FRT2
YOR271C	FSF1
YHR049W	FSH1
YMR222C	FSH2
YOR280C	FSH3
YBR207W	FTH1
YER145C	FTR1
YBL042C	FUI1
YPL262W	FUM1
YAL008W	FUN14
YAL034C	FUN19
YAL022C	FUN26
YAL019W	FUN30
YCL027W	FUS1
YMR232W	FUS2
YBL016W	FUS3
YDR024W	FYV1
YIL097W	FYV10
YOR183W	FYV12
YHR059W	FYV4
YGR196C	FYV8
YGL254W	FZF1
YOR178C	GAC1
YMR250W	GAD1
YBR020W	GAL1
YBR020W	GAL1
YBR019C	GAL10
YLR081W	GAL2
YDR009W	GAL3
YPL248C	GAL4
YBR018C	GAL7
YML051W	GAL80
YER027C	GAL83
YKR039W	GAP1
YMR307W	GAS1
YLR343W	GAS2
YMR215W	GAS3
YOL132W	GAS4
YOL030W	GAS5
YFL021W	GAT1
YMR136W	GAT2
YLR013W	GAT3
YIR013C	GAT4
YCL011C	GBP2
YGL195W	GCN1
YFR009W	GCN20
YKR026C	GCN3
YNL199C	GCR2
YDL226C	GCS1
YDR019C	GCV1
YMR189W	GCV2
YOR120W	GCY1
YEL042W	GDA1
YPR184W	GDB1
YPL110C	GDE1
YOR375C	GDH1
YDL215C	GDH2
YAL062W	GDH3
YOR355W	GDS1
YBR187W	GDT1
YJR031C	GEA1
YJR040W	GEF1
YAL048C	GEM1
YGL020C	GET1
YER083C	GET2
YDL100C	GET3
YMR255W	GFD1
YCL036W	GFD2
YDR358W	GGA1
YHR108W	GGA2
YHR061C	GIC1
YDR309C	GIC2
YCL039W	GID7
YMR135C	GID8
YNL153C	GIM3
YEL003W	GIM4
YML094W	GIM5
YBR045C	GIP1
YER054C	GIP2
YPL137C	GIP3
YAL031C	GIP4
YDR152W	GIR2
YDR096W	GIS1
YNL255C	GIS2
YLR094C	GIS3
YML006C	GIS4
YCR098C	GIT1
YEL011W	GLC3
YMR311C	GLC8
YKR058W	GLG1
YJL137C	GLG2
YCL040W	GLK1
YML004C	GLO1
YDR272W	GLO2
YOR040W	GLO4
YPL091W	GLR1
YDL171C	GLT1
YKR030W	GMH1
YGR256W	GND2
YDR508C	GNP1
YOR320C	GNT1
YHL031C	GOS1
YMR292W	GOT1
YHR005C	GPA1
YER020W	GPA2
YOR371C	GPB1
YAL056W	GPB2
YOL059W	GPD2
YGL121C	GPG1
YPR160W	GPH1
YPR160W	GPH1
YPR160W	GPH1
YPR160W	GPH1
YPR160W	GPH1
YPR160W	GPH1
YPR160W	GPH1
YOL056W	GPM3
YDL035C	GPR1
YKR067W	GPT2
YKL026C	GPX1
YBR244W	GPX2
YPL223C	GRE1
YOL151W	GRE2
YHR104W	GRE3
YDR517W	GRH1
YJR090C	GRR1
YBR121C	GRS1
YCL035C	GRX1
YDR513W	GRX2
YDR098C	GRX3
YER174C	GRX4
YGR032W	GSC2
YML048W	GSF2
YDR108W	GSG1
YJL101C	GSH1
YOL049W	GSH2
YJL103C	GSM1
YOR185C	GSP2
YFR015C	GSY1
YLR258W	GSY2
YDR221W	GTB1
YGR154C	GTO1
YMR251W	GTO3
YML121W	GTR1
YGR163W	GTR2
YGL181W	GTS1
YIR038C	GTT1
YLL060C	GTT2
YEL017W	GTT3
YDL238C	GUD1
YLR289W	GUF1
YGL084C	GUP1
YPL189W	GUP2
YHL032C	GUT1
YIL155C	GUT2
YIL041W	GVP36
YMR192W	GYL1
YOR070C	GYP1
YPL249C	GYP5
YJL044C	GYP6
YDL234C	GYP7
YFL027C	GYP8
YJL110C	GZF3
YPR008W	HAA1
YFL031W	HAC1
YPR005C	HAL1
YJL165C	HAL5
YOL089C	HAL9
YJR069C	HAM1
YGL237C	HAP2
YBL021C	HAP3
YKL109W	HAP4
YKL109W	HAP4
YKL109W	HAP4
YKL109W	HAP4
YKL109W	HAP4
YKL109W	HAP4
YKL109W	HAP4
YOR358W	HAP5
YPL001W	HAT1
YPL001W	HAT1
YPL001W	HAT1
YPL001W	HAT1
YPL001W	HAT1
YPL001W	HAT1
YPL001W	HAT1
YEL056W	HAT2
YKR084C	HBS1
YDL223C	HBT1
YNL281W	HCH1
YCR065W	HCM1
YLR192C	HCR1
YKL017C	HCS1
YNL021W	HDA1
YPR179C	HDA3
YNL014W	HEF3
YDR458C	HEH2
YBL032W	HEK2
YOR237W	HES1
YDL013W	HEX3
YMR207C	HFA1
YMR110C	HFD1
YGL251C	HFM1
YGR187C	HGH1
YBR009C	HHF1
YNL030W	HHF2
YPL127C	HHO1
YBR010W	HHT1
YNL031C	HHT2
YDR317W	HIM1
YBL008W	HIR1
YOR038C	HIR2
YJR140C	HIR3
YER055C	HIS1
YFR025C	HIS2
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
YOR202W	HIS3
